"hosts.ID","inf.by","inf.time","out.time","active","p_max","t_incub"
"H-399","H-26",31,NA,1,0.782172056031492,4.74358932690541
"H-4","H-1",8,NA,1,0.517945081730403,4.96458929021994
"H-40","H-8",20,NA,1,0.809851426148452,6.43958547143414
"H-400","H-27",31,NA,1,0.856344595123639,4.90059709162432
"H-401","H-28",31,NA,1,0.601829006480449,3.88354206643523
"H-402","H-29",31,NA,1,0.516859044998402,6.22973956725762
"H-403","H-30",31,NA,1,0.886834909772617,4.46867378148156
"H-404","H-32",31,NA,1,0.738410644042842,5.32067202044028
"H-405","H-33",31,NA,1,0.510268187030489,5.37401010387917
"H-406","H-34",31,NA,1,0.799878164970928,4.97194484636975
"H-407","H-35",31,NA,1,0.731744071339569,4.72678029682879
"H-408","H-36",31,NA,1,0.847087691907743,5.33924258815266
"H-409","H-37",31,NA,1,0.698234186136289,4.5851642409084
"H-41","H-9",20,NA,1,0.939561298659768,4.84862345535297
"H-410","H-38",31,NA,1,0.805111222909463,4.67503936222584
"H-411","H-39",31,NA,1,0.702449318839556,5.38497284425337
"H-412","H-41",31,NA,1,0.700770931524497,4.20438006229509
"H-413","H-42",31,NA,1,0.806634576150726,5.63704920829231
"H-414","H-43",31,NA,1,0.848522352131688,5.87761296794649
"H-415","H-45",31,NA,1,0.805924644627103,5.35611542236186
"H-416","H-46",31,NA,1,0.857649560642589,4.66613284167166
"H-417","H-49",31,NA,1,0.80628178467513,6.17218348142412
"H-418","H-50",31,NA,1,0.779994626273204,4.29252290754697
"H-419","H-51",31,NA,1,0.881464055806434,4.86455254102896
"H-42","H-1",21,NA,1,0.850379006819881,4.38093969127018
"H-420","H-52",31,NA,1,0.792518213373415,4.25440399299686
"H-421","H-53",31,NA,1,0.508275237389319,4.91406094495399
"H-422","H-57",31,NA,1,0.645056281017336,5.01950885920002
"H-423","H-58",31,NA,1,0.738629258296897,2.71430194270483
"H-424","H-6",31,NA,1,0.957521426816428,5.92058101174288
"H-425","H-60",31,NA,1,0.750993883224418,4.40896829486534
"H-426","H-61",31,NA,1,0.717261920223365,5.8566349943391
"H-427","H-63",31,NA,1,0.837370723131116,3.31252479925458
"H-428","H-64",31,NA,1,0.79625573863688,5.30155511553583
"H-429","H-67",31,NA,1,0.754406490037547,5.92719993741446
"H-43","H-12",21,NA,1,0.76706777686643,4.16726330318576
"H-430","H-68",31,NA,1,0.803959112271398,4.764266062536
"H-431","H-69",31,NA,1,0.896878979850606,4.63214691853881
"H-432","H-70",31,NA,1,0.698356979145732,6.02466718529139
"H-433","H-71",31,NA,1,0.774436752572698,5.09943969031943
"H-434","H-74",31,35,0,0.775631834964511,4.65011810871083
"H-435","H-77",31,NA,1,0.586415401984922,4.46818332262562
"H-436","H-78",31,NA,1,0.902780426948835,6.21742425374609
"H-437","H-79",31,NA,1,0.699063638798383,3.99472073686026
"H-438","H-80",31,34,0,0.803733381887243,4.61338765919654
